index,player,tweet,score
0,Tyler Linderbaum, Tyler Linderbaum,-1
1,Austin Jackson," 2020 1st Rd pick - Noah Igbinoghene
2020 4th Rd pick (trade) - Soloman Kindley
2021 1st Rd pick
2021 2nd Rd pick
2021 7th Rd pick
2020 1st Rd pick - Austin Jackso",-1
2,Gregory Rousseau,What you need to know about Gregory Rousseau ,-1
3,Jordyn Brooks,"A trade with the Packers fell through on the night of the first round, but with the Ravens eyeing Jordyn Brooks one pick behind them, the Seahawks may be feeling like they caught a break. ",-1
4,Trent McDuffie,"The  Signed 7 draft picks: 

DB Jaylen Watson
DB Bryan Cook
DB Nazeeh Johnson
DE George Karlaftis
T Darian Kinnard
DB Trent McDuffie
RB Isiah Pacheco",-1
5,Austin Jackson, Just listened to the podcast at Drivetime  talking about Austin Jackson. Can tell that his story really touched you. Thanks for sharing.,-1
6,Jeff Gladney,"🥇 First-Team All-Big 12 (AP - 2019)
🏆 Second-Team All-American (FWAA - 2019)
❌ 14th (tied) nationally with 1.3 passes defended per game as a senior

Watch out NFC North WRs, Jeff Gladney's coming for you 😈 ",-1
7,Gregory Rousseau,Gregory Rousseau |  ,-1
8,Jalen Reagor,New on SI: NFL Prop Bet: How Many Receiving Touchdowns Will Jalen Reagor Total in 2020? ,-1
9,Penei Sewell,"OT was the 2nd-most coveted position in the 2021 NFL Draft and the  were at the front of that, drafting Oregon OT Penei Sewell at No. 7 overall

",-1
10,Jeff Gladney,"2020 NFL Draft Grades

Vikings
WR Justin Jefferson
CB Jeff Gladney
T Ezra Cleveland
CB Cameron Dantzler
ED D.J. Wonnum
Ed James Lynch
LB Troy Dye
CB Harrison Hand
WR KJ Osborn
T Blake Brandel
S JoshMetellus
ED Kenny Willekes
QB Nate Stanley
S Brian Cole
G Kyle Hinton
Thread Below",-1
11,Alijah Vera-Tucker,Here he is BEATING FIRST ROUND LG ALIJAH VERA-TUCKER to a spot with special burst but back is able to just get around him as Vera-Tucker kinda pulls Tonga towards him ,-1
12,Garrett Wilson,Garrett Wilson Rookie Card WR O  ,-1
13,Kenny Pickett,Kenny Pickett is  💙💛 Pickett took out a full-page ad to thank the University in yesterday's Pittsburgh Post-Gazette! Learn more:   ,-1
14,L.J. Collier,"The Seahawks’ first-round pick L.J. Collier is embracing the Michael Bennett comparisons, via  

",-1
15,Rashawn Slater,Brandon Staley: Rashawn Slater is an outstanding fit. ,-1
16,Rashan Gary, Sorry rashan  Gary looks he scribble his name on a card,-1
17,Mac Jones, I’ll raise your Mac Jones with a Sam Darnold,-1
18,Marquise Brown,"Dear Baltimore Ravens fan,

Please make note, your new wide receiver Marquise Brown has a nickname it “Hollywood”.  Thank you for your consideration in this matter.  

Signed,

Adrian “AD not AP” Peterson

",-1
